Time,Filename,mean_Deg_C_1_1,uL_BL,uL_Channel_2,uL_Channel_3,uL_Channel_4,uL_Channel_5,uL_Channel_6,Baseline,w1118 BL 6326,w1118 BL 6326,eaat2 e04636,eaat2 e04636,eaat2 e04636
10:01:04,RepRec~04-28-2017_0269.exp,23.73108,0.2221603,1.023476,1.098401,1.016938,0.9141105,1.418441,0,80,0,6,0,17
10:06:04,RepRec~04-28-2017_0270.exp,23.70829,0.2176013,1.139487,1.551482,1.302247,1.157874,1.758295,0,66,17,43,2,54
10:11:04,RepRec~04-28-2017_0271.exp,23.71971,0.2216455,1.110626,1.560068,1.453209,1.465149,1.724382,0,87,39,47,9,49
10:16:04,RepRec~04-28-2017_0272.exp,23.74637,0.2213626,1.13969,1.650532,1.632397,1.577601,1.700607,0,90,35,57,13,46
10:21:04,RepRec~04-28-2017_0273.exp,23.77053,0.2312869,1.134832,1.570578,1.494593,1.557409,1.74636,0,82,28,53,7,41
10:26:04,RepRec~04-28-2017_0274.exp,23.78069,0.2422233,1.126824,1.628088,1.493716,1.690734,1.766903,0,67,45,36,3,40
10:31:04,RepRec~04-28-2017_0275.exp,23.81213,0.224381,1.153827,1.623043,1.4973,1.701242,1.713951,0,72,38,61,9,37
10:36:04,RepRec~04-28-2017_0276.exp,23.8828,0.2197361,1.13426,1.645526,1.410356,1.779325,1.672455,0,84,49,36,7,26
10:41:04,RepRec~04-28-2017_0277.exp,23.96792,0.2257691,1.14564,1.682994,1.419454,1.646974,1.673891,0,81,43,49,16,37
10:46:04,RepRec~04-28-2017_0278.exp,24.03759,0.2419322,1.185937,1.620285,1.408852,1.584299,1.971076,0,85,39,51,14,39
10:51:04,RepRec~04-28-2017_0279.exp,24.08722,0.2443185,1.159637,1.638985,1.461951,1.875887,2.026055,0,62,45,44,8,27
10:56:04,RepRec~04-28-2017_0280.exp,24.13954,0.2372927,1.212487,1.673573,1.394099,1.675914,1.707326,0,80,53,38,1,25
11:01:04,RepRec~04-28-2017_0281.exp,24.18099,0.2253228,1.188867,1.666112,1.581823,1.623219,1.65508,0,80,54,32,1,29
11:06:04,RepRec~04-28-2017_0282.exp,24.19282,0.2294404,1.231643,1.703493,1.538655,1.406979,1.616184,0,65,22,33,2,24
11:11:04,RepRec~04-28-2017_0283.exp,24.16689,0.2211774,1.210745,1.720992,1.425053,1.295098,1.57575,0,83,49,18,0,11
11:16:04,RepRec~04-28-2017_0284.exp,24.16044,0.204744,1.222326,1.747514,1.359699,1.23757,1.544696,0,73,54,31,0,25
11:21:04,RepRec~04-28-2017_0285.exp,24.15416,0.2156497,1.164917,1.675626,1.309163,1.21851,1.617834,0,76,42,20,0,18
11:26:04,RepRec~04-28-2017_0286.exp,24.13533,0.2118055,1.149937,1.669487,1.279343,1.165199,1.544059,0,85,48,39,0,14
11:31:04,RepRec~04-28-2017_0287.exp,24.09549,0.2090528,1.171693,1.71716,1.405852,1.168427,1.525938,0,95,47,33,0,19
11:36:04,RepRec~04-28-2017_0288.exp,24.08052,0.2076812,1.164373,1.700558,1.355494,1.142048,1.44922,0,102,59,28,0,17
11:41:04,RepRec~04-28-2017_0289.exp,24.07394,0.1988132,1.176833,1.657103,1.227494,1.109652,1.641308,0,95,42,39,0,13
11:46:04,RepRec~04-28-2017_0290.exp,24.05639,0.2277036,1.216493,1.733618,1.306736,1.211494,1.536882,0,77,50,41,0,7
11:51:04,RepRec~04-28-2017_0291.exp,24.02064,0.201973,1.183797,1.631528,1.26292,1.140307,1.437915,0,86,41,42,0,15
11:56:04,RepRec~04-28-2017_0292.exp,24.0086,0.1877328,1.186615,1.685013,1.399677,1.144222,1.416425,0,94,33,41,0,7
12:01:04,RepRec~04-28-2017_0293.exp,23.99624,0.2088839,1.196414,1.654012,1.406889,1.28931,1.436363,0,102,47,25,0,9
