Time,Filename,mean_Deg_C_1_1,uL_BL,uL_Channel_2,uL_Channel_3,uL_Channel_4,uL_Channel_5,uL_Channel_6,,Baseline,w1118 BL 6326,w1118 BL 6326,eaat2 e04636,eaat2 e04636,eaat2 e04636
11:56:00,RepRec~04-28-2017_0004.exp,23.90569,0.9242406,3.122517,3.50896,2.842474,2.277125,3.170239,,0,10,17,0,0,16
12:01:00,RepRec~04-28-2017_0005.exp,24.00084,0.841164,2.817437,2.973451,2.306229,1.91638,2.451864,,0,15,51,0,0,5
12:06:00,RepRec~04-28-2017_0006.exp,24.09833,0.7259107,2.424985,2.866505,2.211698,1.871278,2.310939,,0,9,57,0,0,3
12:11:00,RepRec~04-28-2017_0007.exp,24.17625,0.6854397,2.273667,2.596046,2.036913,1.742976,2.127002,,0,10,42,0,0,0
12:16:00,RepRec~04-28-2017_0008.exp,24.26437,0.6676148,2.094406,2.671605,1.906399,1.684352,2.034113,,0,2,43,0,0,0
12:21:00,RepRec~04-28-2017_0009.exp,24.35752,0.643707,2.115671,2.441411,1.996924,1.729649,2.031295,,0,11,14,0,0,0
12:26:00,RepRec~04-28-2017_0010.exp,24.42862,0.6134672,2.071625,2.36049,1.835262,1.674476,2.110089,,0,2,4,0,0,9
12:31:00,RepRec~04-28-2017_0011.exp,24.4535,0.6048502,1.950386,2.110244,1.710643,1.598136,1.94629,,0,1,5,0,0,4
12:36:00,RepRec~04-28-2017_0012.exp,24.46356,0.5994265,1.923907,2.067195,1.709059,1.62949,1.874957,,0,3,5,0,0,2
12:41:00,RepRec~04-28-2017_0013.exp,24.46592,0.5802217,1.800584,2.007813,1.663597,1.550351,1.734654,,0,1,0,0,0,0
12:46:00,RepRec~04-28-2017_0014.exp,24.46366,0.5599194,1.860443,1.80578,1.583421,1.487473,1.65291,,0,2,0,0,0,0
12:51:01,RepRec~04-28-2017_0015.exp,24.42118,0.5503653,1.782809,1.759492,1.584042,1.509485,1.652082,,0,3,0,0,0,0
12:56:01,RepRec~04-28-2017_0016.exp,24.41444,0.5415956,1.736235,1.760314,1.706065,1.444168,1.575506,,0,6,0,0,0,0
13:01:01,RepRec~04-28-2017_0017.exp,24.40645,0.5424793,1.792554,1.90435,1.5264,1.465318,1.581312,,0,3,0,0,0,0
13:06:01,RepRec~04-28-2017_0018.exp,24.40245,0.525593,1.621966,1.7734,1.487725,1.574555,1.548672,,0,2,2,0,0,0
13:11:01,RepRec~04-28-2017_0019.exp,24.38581,0.5271854,1.654637,1.934228,1.429656,1.40824,1.486905,,0,2,36,0,0,0
13:16:01,RepRec~04-28-2017_0020.exp,24.4163,0.5223255,1.612636,1.906978,1.421335,1.399698,1.523124,,0,5,27,0,0,0
13:21:01,RepRec~04-28-2017_0021.exp,24.47805,0.5430785,1.49898,1.801627,1.464242,1.422512,1.580963,,0,1,2,0,0,3
13:26:01,RepRec~04-28-2017_0022.exp,24.54946,0.5113917,1.451297,1.848335,1.489931,1.417334,1.492058,,0,0,13,0,0,0
13:31:01,RepRec~04-28-2017_0023.exp,24.59374,0.5199813,1.35831,1.886142,1.454136,1.381488,1.476767,,0,0,25,0,0,0
